catalog_id,topic,source_id,article_or_section,relevance_note,corpus_status,review_status
SC-MAIN-SPECIAL-CONFLICT,repair,SRC-STD-LEASE,제3조(입주 전 수리),입주 전 수리 주제의 본문과 특약 상충 비교 기준,in_corpus,unverified
SC-MAIN-SPECIAL-CONFLICT,repair,SRC-STD-LEASE,제4조 제2항~제4항(임차주택의 사용·관리·수선),계약 중 수리 주제의 본문과 특약 상충 비교 기준,in_corpus,unverified
SC-MAIN-SPECIAL-CONFLICT,repair,SRC-CIVIL-LEASE,제623조(임대인의 의무),사용·수익에 필요한 수리 책임 주체의 비교 근거,in_corpus,unverified
SC-MAIN-SPECIAL-CONFLICT,restoration,SRC-STD-LEASE,제9조(계약의 종료),원상복구 주제의 본문과 특약 상충 비교 기준,in_corpus,unverified
SC-MAIN-SPECIAL-CONFLICT,restoration,SRC-CIVIL-LEASE,제615조·제654조(원상회복 준용),원상복구 의무 범위의 비교 근거,in_corpus,unverified
SC-MAIN-SPECIAL-CONFLICT,management_fee,SRC-STD-LEASE,제1조(보증금과 차임 및 관리비),관리비 주제의 본문과 특약 상충 비교 기준,in_corpus,unverified
SC-MAIN-SPECIAL-CONFLICT,management_fee,SRC-CONFIRM-FORM,[관리비],관리비 세부항목과 부과 방식의 비교 근거,in_corpus,unverified
SC-MAIN-SPECIAL-CONFLICT,lease_period,SRC-STD-LEASE,제2조(임대차기간),계약기간 주제의 본문과 특약 상충 비교 기준,in_corpus,unverified
SC-MAIN-SPECIAL-CONFLICT,lease_period,SRC-HTA-LAW,제4조(임대차기간 등),임대차기간과 종료 후 존속 관계의 비교 근거,in_corpus,unverified
SC-MAIN-SPECIAL-CONFLICT,rights_change,SRC-STD-LEASE,[특약사항] 담보권 설정 금지·위반 시 해제 또는 해지,권리변동 주제의 본문과 특약 상충 비교 기준,in_corpus,unverified
SC-MAIN-SPECIAL-CONFLICT,rights_change,SRC-HTA-LAW,제3조(대항력 등),권리변동과 대항력 발생 시점의 비교 근거,in_corpus,unverified
SC-MAIN-SPECIAL-CONFLICT,rights_change,SRC-HTA-LAW,제3조의2(보증금의 회수),권리변동과 우선변제권 요건의 비교 근거,in_corpus,unverified
